start_sec,end_sec,dt_sec,angle_command,speed_command,lidar_dx_m,lidar_dy_m,lidar_yaw_rad,lidar_arc_m,gyro_integral_raw_rad,icp_rmse_m,icp_inliers,icp_inlier_ratio,icp_seed_gain_span,accepted,rejection_reason
1784878379.912991,1784878380.4310012,0.518010139465332,20.0,3.0,0.0,0.0,0.0,0.0,0.14096123486511472,,0,0.0,inf,False,few_scan_points
1784878380.4310012,1784878380.9505432,0.5195419788360596,29.16666603088379,3.0,0.0,0.0,0.0,0.0,0.1661166712594036,,0,0.0,inf,False,few_scan_points
1784878380.9505432,1784878381.4672463,0.5167031288146973,29.16666603088379,3.0,0.0,0.0,0.0,0.0,0.16784633301526686,,0,0.0,inf,False,few_scan_points
1784878381.4672463,1784878381.9840782,0.5168318748474121,29.16666603088379,3.0,0.0,0.0,0.0,0.0,0.16663154940368807,,0,0.0,inf,False,few_scan_points
1784878381.9840782,1784878382.500829,0.5167508125305176,31.799999237060547,3.0,0.0,0.0,0.0,0.0,0.17939815293093697,,0,0.0,inf,False,few_scan_points
1784878382.500829,1784878383.0170813,0.5162522792816162,31.799999237060547,3.0,0.0,0.0,0.0,0.0,0.18017268517873794,,0,0.0,inf,False,few_scan_points
1784878383.0170813,1784878383.535118,0.5180368423461914,31.799999237060547,3.0,0.14971426642436497,-0.0182552027168474,-0.16981500362061122,0.15100449521444717,0.18019759058952334,0.02438228495423206,47,0.7230769230769231,2.636779683484747e-16,False,few_inliers
1784878383.535118,1784878384.0527291,0.517611026763916,31.799999237060547,3.0,0.1415876091396044,-0.01922342671481228,-0.17061162502438226,0.14306008443610446,0.1849893581867218,0.026258972994132535,57,0.7402597402597403,1.1657341758564144e-15,True,
1784878384.0527291,1784878384.568434,0.515704870223999,29.16666603088379,3.0,0.1432610512799008,-0.0264804080463786,-0.1522455537862687,0.14582861724510768,0.1613501131846274,0.0209955461005987,59,0.7662337662337663,9.298117831235686e-16,True,
1784878384.568434,1784878385.083585,0.5151510238647461,12.083333015441895,3.0,0.1302747090549456,-0.024906881736492876,-0.0557499501837042,0.1326514593159305,0.06562572027506047,0.026076677411424498,53,0.7162162162162162,0.018438400837267846,False,few_inliers
1784878385.083585,1784878385.601994,0.518409013748169,-14.583333015441895,3.0,0.16017152836050363,-0.0003079555660008247,0.05191997082158928,0.16018981634372087,-0.026264225526643443,0.019392852120747917,58,0.7733333333333333,0.015477932686439766,False,initialization_sensitive
1784878385.601994,1784878386.120543,0.5185489654541016,-17.91666603088379,3.0,0.14939976184906545,-0.007541319643098319,0.07385166127467893,0.14962397422406098,-0.05079500732362813,0.021054505360669933,60,0.7894736842105263,0.0002543787905675138,True,
1784878386.120543,1784878386.6371992,0.5166561603546143,-28.33333396911621,3.0,0.152115210753885,-0.00022793194578740045,0.10828199975037059,0.15218972159213637,-0.08779400954010895,0.0216069079427029,55,0.7971014492753623,0.0014930518348509753,True,
1784878386.6371992,1784878387.1530812,0.5158820152282715,-31.200000762939453,3.0,0.15727248404643857,0.00612275736266181,0.1086025772634694,0.15746899600189695,-0.09511048608120919,0.024773469147356973,51,0.7391304347826086,0.008935806205129071,False,few_inliers
1784878387.1530812,1784878387.668492,0.5154109001159668,-31.200000762939453,3.0,0.14624692099096231,-0.003166283054044837,0.11113210618108929,0.14635649548345062,-0.09672266363114168,0.030011018255264654,54,0.782608695652174,0.008681862126541984,False,few_inliers
1784878387.668492,1784878388.184745,0.5162529945373535,-31.200000762939453,3.0,0.15641995863028785,0.006013935825163581,0.111744980148483,0.15661699935618836,-0.09933452256578174,0.024236130950731072,51,0.7611940298507462,0.013082990926267551,False,few_inliers
1784878388.184745,1784878388.7006202,0.5158751010894775,-31.200000762939453,3.0,0.15917397020190327,0.001780534185108519,0.113056157458058,0.1592687367951707,-0.0970024978613084,0.03288848464285905,51,0.7727272727272727,0.005210454022189087,False,few_inliers
1784878388.7006202,1784878389.2166371,0.516016960144043,-31.200000762939453,3.0,0.18004135890330303,-0.006974731319000921,0.12449674199153166,0.1802928197656936,-0.10207654173519112,0.02754237059165781,53,0.7794117647058824,0.014465086970611482,False,few_inliers
1784878389.2166371,1784878389.734163,0.5175259113311768,-31.200000762939453,3.0,0.1628871987584798,0.0013263790339636886,0.11861310092841228,0.1629881276316389,-0.10101227102049291,0.02220983403047894,50,0.7936507936507936,0.016518847162258155,False,few_inliers
1784878389.734163,1784878390.252449,0.5182859897613525,-31.200000762939453,3.0,0.0,0.0,0.0,0.0,-0.09663276796803605,,0,0.0,inf,False,few_scan_points
1784878390.252449,1784878390.7696772,0.5172281265258789,-31.200000762939453,3.0,0.0,0.0,0.0,0.0,-0.10049458403285616,,0,0.0,inf,False,few_scan_points
1784878390.7696772,1784878391.2865841,0.5169069766998291,-31.200000762939453,3.0,0.14967056029165882,-0.005735677743879494,0.11135279394685743,0.14985783242176276,-0.09733668655611435,0.026156579739995446,45,0.7377049180327869,6.38378239159465e-16,False,few_inliers
1784878391.2865841,1784878391.8042593,0.5176751613616943,-31.200000762939453,3.0,0.15551233936492592,-0.0031798862886882537,0.11379785596164879,0.1556288076251663,-0.09790686260309187,0.02893439702971304,49,0.7777777777777778,1.8041124150158794e-16,False,few_inliers
